レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010301,2026.8.1,土,札幌,1札3,1,,未勝利,ダート,1000,,2,稍(暫定),曇(暫定),12,10:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヒアカムズザサン,,牡,2,2,7,19,函館,T,1800,重,12,7,新馬,37.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,マイネルリコルディ,,牡,2,3,7,11,福島,T,1800,良,6,7,未勝利*,36.3,先行,3,6,21,東京,T,1800,稍,6,8,新馬,34.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ステラルミノーザ,,牡,2,2,7,19,函館,T,1800,重,8,11,新馬,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ニーナラルゴ,,牝,2,3,7,12,函館,T,1800,重,4,7,新馬,36.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ロードレスポンス,,牡,2,2,7,18,函館,T,1800,良,5,4,未勝利*,36.2,中団,5,6,13,函館,T,1200,稍,7,9,新馬,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,6,,,,,ジオ,,牡,2,3,7,12,函館,T,1800,重,7,6,新馬,36.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ブライトシーン,,牡,2,4,7,5,福島,T,2000,良,12,14,新馬,36.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,ブルーリボン,,牝,2,3,7,12,福島,T,1800,稍,9,12,新馬,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,ブラッグス,,牡,2,3,7,12,函館,T,1800,重,6,3,新馬,36.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010303,2026.8.1,土,札幌,1札3,3,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,11:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ブルーアンビエンス,,牡,3,8,6,7,東京,D,1600,良,7,10,未勝利,37.9,後方,2,5,26,浦和,D,1400,稍,5,6,ツイン,----,中団,7,4,5,中山,D,1800,不,12,6,未勝利,41.5,後方,8,2,7,小倉,T,2000,稍,12,12,未勝利・若,36.9,後方,2,1,24,小倉,T,2000,良,13,16,新馬,35.0,後方,初
2,,2,,,,,エボニードール,,牝,3,19,3,22,中京,D,1800,良,6,10,未勝利・牝,38.8,中団,2,3,8,阪神,D,1400,良,12,10,未勝利,38.6,後方,2,2,21,小倉,T,1200,良,9,9,未勝利・牝,35.2,中団,10,12,13,阪神,T,1200,良,9,7,未勝利*,34.4,後方,3,11,22,京都,D,1200,良,11,6,未勝利・牝*,37.3,中団,8
3,,3,,,,,アズライトアスール,,牡,3,3,7,11,小倉,D,1700,良,8,12,未勝利,39.3,後方,7,5,24,京都,T,1600,良,15,16,未勝利,35.5,後方,11,3,7,阪神,T,2400,稍,11,13,未勝利,35.9,後方,3,2,15,小倉,T,1800,稍,15,14,未勝利,36.3,後方,10,12,6,阪神,D,1200,良,12,12,未勝利*,39.5,中団,3
4,,4,,,,,コーリンクレア,,牝,3,3,7,12,函館,D,1700,不,7,3,未勝利,38.4,中団,2,6,27,函館,D,1700,重,7,8,未勝利・牝,37.0,後方,3,6,6,東京,D,1600,稍,4,7,未勝利・牝,38.5,先行,3,5,17,東京,D,1600,良,10,1,未勝利・牝,39.9,中団,2,5,2,東京,D,1600,重,4,9,未勝利,37.2,差し,2
5,,5,,,,,アルジェンタム,,セ,3,7,6,14,阪神,D,1800,良,16,1,未勝利,45.1,後方,3,5,23,京都,D,1800,稍,2,6,未勝利,38.2,ﾏｸﾘ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ハイテイラオユエ,,牡,3,3,7,12,函館,D,1700,不,2,4,未勝利,37.8,差し,4,6,14,東京,D,2100,稍,4,7,未勝利,38.9,先行,3,5,23,東京,D,2100,重,5,11,未勝利,38.1,中団,2,5,10,新潟,D,1800,良,9,8,未勝利,39.6,中団,26,11,9,東京,D,1600,稍,10,13,新馬,38.5,後方,初
6,,7,,,,,マクローリン,,牡,3,連,7,25,札幌,D,1700,良,5,10,未勝利,37.9,後方,6,6,14,阪神,D,1800,良,13,15,未勝利,40.2,中団,2,5,30,京都,D,1400,良,7,9,未勝利,38.2,中団,3,5,9,新潟,D,1800,稍,5,8,未勝利,41.7,中団,2,4,26,東京,D,1600,稍,8,10,未勝利,38.0,中団,2
7,B,8,,,,,リテラシー,,牡,3,2,7,18,小倉,D,1700,稍,3,6,未勝利,37.5,差し,8,5,23,新潟,T,1400,稍,10,11,未勝利,35.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,アンタレス,,牡,3,9,5,30,京都,T,1800,良,18,12,未勝利,37.7,後方,11,3,14,阪神,D,1400,良,12,12,未勝利,37.4,後方,7,1,27,高知,D,1400,良,5,6,室戸盃,----,先行,6,12,13,中山,D,1800,良,11,9,新馬,41.2,後方,初,,,,,,,,,,,,
8,,10,,,,,セブンワンダーズ,,牡,3,3,7,11,福島,D,1700,良,13,4,未勝利,41.7,中団,7,5,24,新潟,D,1800,稍,5,3,未勝利,41.7,先行,2,5,9,新潟,D,1800,稍,2,7,未勝利,40.8,先行,2,4,25,福島,D,1700,良,6,3,未勝利,38.6,中団,6,3,14,中山,D,1800,良,7,5,未勝利,39.9,中団,3
8,,11,,,,,バンダムソレール,,牡,3,2,7,18,函館,D,1700,良,2,10,未勝利,37.4,差し,3,6,28,小倉,D,1700,稍,5,5,未勝利,38.2,中団,8,5,2,新潟,D,1200,不,6,7,未勝利・若,37.8,後方,3,4,12,中山,D,1200,稍,5,4,未勝利,38.3,中団,2,3,28,阪神,D,1200,稍,4,6,未勝利,36.9,差し,6
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010304,2026.8.1,土,札幌,1札3,4,,1勝,芝,1800,A,4,稍(暫定),曇(暫定),14,11:30,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイドクレース,,牝,3,3,7,11,函館,T,1800,稍,2,5,１勝ｸﾗｽ・牝,34.5,先行,2,6,27,函館,T,2000,稍,2,5,１勝ｸﾗｽ,35.4,差し,10,4,18,福島,T,2000,良,7,8,ひめさゆ･1勝,36.1,先行,7,2,28,中山,T,1800,良,3,6,１勝ｸﾗｽ・牝*,35.9,ﾏｸﾘ,2,2,14,小倉,T,2000,良,5,7,あすなろ･1勝,35.6,後方,2
2,,2,,,,,ドーギッド,,牝,4,10,5,23,新潟,T,2000,稍,9,11,尖閣湾特･1勝,35.9,先行,2,5,9,新潟,T,1800,良,5,7,粟島特別･1勝,35.8,中団,2,4,26,京都,T,1800,良,6,6,１勝ｸﾗｽ,34.4,後方,11,2,7,小倉,T,2000,稍,12,9,１勝ｸﾗｽ・牝,37.5,先行,9,12,6,阪神,D,1800,良,12,10,１勝ｸﾗｽ,38.6,中団,2
3,,3,,,,,エイカイカッシーナ,,牝,4,9,5,30,京都,T,1600,良,15,13,１勝ｸﾗｽ,35.8,中団,13,3,1,阪神,T,1800,良,9,8,１勝ｸﾗｽ,35.0,中団,22,9,28,阪神,T,1800,良,18,11,１勝ｸﾗｽ,36.6,中団,17,6,1,京都,T,1800,良,10,10,白百合Ｓ(L),36.8,中団,5,4,26,京都,T,1800,良,1,6,未勝利・牝,34.8,先行,8
4,,4,,,,,ブルースカイブルー,,牡,3,11,5,17,東京,T,1600,良,4,3,１勝ｸﾗｽ*,34.0,先行,3,4,26,東京,T,1600,良,5,4,１勝ｸﾗｽ*,32.5,後方,5,3,22,中京,T,1600,良,3,4,フローラ･1勝,33.7,ﾏｸﾘ,7,2,1,東京,T,1800,良,8,6,セントポ･1勝,32.8,後方,7,12,13,阪神,T,2000,良,4,6,エリカ賞･1勝,33.7,先行,9
5,,5,,,,,マイバラード,,牡,6,2,7,18,函館,T,1800,良,7,13,湯浜特別･1勝,35.5,後方,2,7,4,函館,T,1800,良,6,7,恵山特別･1勝,34.9,中団,2,6,21,函館,T,1800,良,3,9,１勝ｸﾗｽ,34.6,追込,16,3,1,小倉,T,2000,良,11,16,唐戸特別･1勝,36.1,先行,連,2,22,小倉,T,1800,良,5,11,高千穂特･1勝,34.8,後方,2
6,,6,,,,,ゴールドジェスター,,セ,4,14,4,26,福島,T,2000,良,9,9,飯盛山特･1勝,35.3,後方,10,2,15,小倉,T,2000,稍,8,9,１勝ｸﾗｽ,35.7,後方,連,2,7,小倉,T,2000,稍,3,12,戸畑特別･1勝,35.7,追込,2,1,24,小倉,T,2600,良,14,13,１勝ｸﾗｽ,35.7,後方,12,11,1,東京,T,1800,良,10,10,１勝ｸﾗｽ,34.1,後方,2
6,,7,,,,,ミリオンクラウン,,牡,3,7,6,14,東京,D,1600,稍,7,11,１勝ｸﾗｽ,36.5,先行,5,5,9,東京,D,1600,良,15,13,青竜Ｓ,47.3,中団,4,4,11,中山,T,1600,良,10,15,ニュージG2,34.8,中団,3,3,21,阪神,T,2000,良,11,11,若葉Ｓ(L),36.5,先行,20,11,5,船橋,D,1600,良,7,1,平和賞,----,先行,8
7,,8,,,,,リリーズブルーム,,牝,5,3,7,11,函館,T,1800,稍,7,11,１勝ｸﾗｽ・牝,35.0,中団,3,6,21,函館,T,2000,良,6,12,遊楽部特･1勝,36.6,先行,5,5,16,東京,D,1600,良,8,10,１勝ｸﾗｽ・牝,38.0,先行,3,4,26,福島,D,1700,良,11,13,１勝ｸﾗｽ・牝,38.1,中団,12,1,29,姫路,D,1800,良,1,3,ローズ,----,逃げ,3
7,,9,,,,,エイトスターズ,,牝,6,10,5,24,京都,T,1400,良,8,11,１勝ｸﾗｽ,34.3,中団,4,4,26,京都,T,1800,良,9,10,１勝ｸﾗｽ,35.2,中団,8,2,28,阪神,D,1400,良,13,16,１勝ｸﾗｽ,38.1,後方,2,2,14,小倉,D,1700,良,6,13,１勝ｸﾗｽ・牝,39.1,中団,23,9,7,札幌,T,1800,稍,10,4,１勝ｸﾗｽ・牝,39.6,中団,8
8,,10,,,,,マイネルマスター,,牡,3,19,3,22,中山,T,2000,良,5,3,１勝ｸﾗｽ*,35.7,先行,3,2,28,中山,T,2200,良,5,7,水仙賞･1勝*,37.0,中団,5,1,25,中山,T,1800,良,11,11,若竹賞･1勝*,37.1,中団,7,12,6,中山,T,2000,良,9,10,葉牡丹賞･1勝,36.0,先行,10,9,27,中山,T,2000,良,5,6,芙蓉Ｓ,35.8,逃げ,3
8,,11,,,,,アドミラルシップ,,牡,5,2,7,18,函館,T,1800,良,4,4,湯浜特別･1勝,36.2,先行,4,6,20,東京,T,1800,稍,4,6,１勝ｸﾗｽ,34.6,差し,5,5,17,東京,T,1800,良,7,2,１勝ｸﾗｽ,33.5,中団,3,4,26,福島,T,2000,良,11,2,飯盛山特･1勝,35.6,後方,連,4,19,福島,T,1800,良,2,3,１勝ｸﾗｽ,34.3,追込,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010305,2026.8.1,土,札幌,1札3,5,,新馬,芝,1500,A,3,稍(暫定),曇(暫定),14,12:20,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,イントゥーザブルー,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ハイランドウインド,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ギャルズマインド,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,インワンズブラッド,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,ティアラード,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,ベニドルム,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,ブルージェイ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,,,,,ジューンルル,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,アワードリームス,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,,,,,オーシンヒマワリ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,セールデュクール,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,,,,,スクレイプバイ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,ヒルノバルデス,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010306,2026.8.1,土,札幌,1札3,6,,1勝,ダート,1000,,2,稍(暫定),曇(暫定),12,12:50,牝,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,エスカレイト,,牝,3,11,5,16,東京,D,1400,良,13,12,１勝ｸﾗｽ*,37.5,中団,5,4,12,阪神,D,1400,稍,15,13,１勝ｸﾗｽ*,37.6,中団,5,3,7,阪神,D,1200,稍,8,8,１勝ｸﾗｽ*,37.6,後方,7,1,18,京都,D,1200,良,3,10,１勝ｸﾗｽ*,36.5,追込,5,12,13,中京,T,1400,良,10,11,つわぶき･1勝,35.0,中団,15
2,,2,,,,,グッバイウェーブ,,牝,4,2,7,19,函館,D,1000,不,6,9,１勝ｸﾗｽ,35.5,先行,4,6,20,函館,D,1000,良,6,9,１勝ｸﾗｽ,36.0,中団,5,5,17,新潟,T,1000,良,8,9,飛竜特別･1勝,32.3,後方,4,4,18,福島,D,1150,良,9,11,１勝ｸﾗｽ・牝,37.9,中団,5,3,15,中京,T,1200,良,16,14,１勝ｸﾗｽ,36.0,先行,17
3,,3,,,,,パドゼフィール,,牝,3,5,6,28,小倉,D,1000,稍,10,3,１勝ｸﾗｽ,39.2,先行,16,3,7,阪神,D,1200,稍,9,10,１勝ｸﾗｽ*,39.1,中団,4,2,7,小倉,D,1000,良,1,2,未勝利,36.3,逃げ,8,12,13,阪神,D,1400,良,6,9,未勝利・牝*,39.1,先行,8,10,19,京都,D,1400,稍,5,5,未勝利・牝*,39.8,先行,9
4,,4,,,,,セガンティーニ,,牝,4,連,7,25,札幌,T,1200,良,12,4,１勝ｸﾗｽ,34.7,中団,9,5,24,新潟,T,1200,稍,2,6,１勝ｸﾗｽ,34.8,先行,2,5,10,新潟,T,1200,良,5,6,１勝ｸﾗｽ,34.1,後方,3,4,18,福島,T,1200,良,10,4,１勝ｸﾗｽ,34.9,中団,7,2,28,小倉,T,1200,稍,4,1,１勝ｸﾗｽ,35.0,先行,連
5,,5,,,,,メモリーデイズ,,牝,3,2,7,18,函館,D,1000,良,1,4,未勝利・牝,37.0,逃げ,7,5,31,京都,D,1200,良,6,12,未勝利,36.4,中団,8,4,5,阪神,D,1400,重,8,13,未勝利・牝,37.1,中団,2,3,22,阪神,D,1400,良,5,10,未勝利・牝,38.4,中団,3,2,28,小倉,T,1200,稍,15,14,未勝利,37.1,中団,10
6,,6,,,,,シェーンルスカ,,牝,4,2,7,18,函館,D,1700,良,13,14,１勝ｸﾗｽ,41.4,後方,14,4,12,福島,T,2000,良,15,15,１勝ｸﾗｽ・若,37.4,中団,17,12,13,中京,D,1200,良,14,14,１勝ｸﾗｽ・牝,37.3,後方,8,10,16,名古,D, 920,重,1,2,Ｃ１３,----,先行,3,9,30,名古,D,1500,良,2,2,３歳８,----,逃げ,4
7,,7,,,,,テーオーナタリー,,牝,3,3,7,11,函館,D,1000,重,6,5,１勝ｸﾗｽ,35.7,先行,2,6,27,函館,D,1000,重,8,3,１勝ｸﾗｽ,35.8,先行,2,6,14,函館,D,1000,良,9,1,１勝ｸﾗｽ・牝,36.5,先行,3,5,23,京都,D,1400,稍,4,12,１勝ｸﾗｽ*,38.3,先行,5,4,19,阪神,D,1200,良,6,11,１勝ｸﾗｽ*,36.4,中団,18
8,,8,,,,,ウーマンズパワー,,牝,3,26,1,31,小倉,D,1000,良,1,1,未勝利,36.0,先行,8,12,6,阪神,D,1200,良,4,1,未勝利*,38.2,先行,3,11,16,福島,D,1150,良,2,2,未勝利*,37.4,逃げ,3,10,25,新潟,D,1200,良,2,3,未勝利*,38.1,先行,8,8,31,札幌,T,1200,稍,6,5,未勝利*,37.1,逃げ,2
8,,9,,,,,アスコットアイ,,牝,4,4,7,4,小倉,D,1000,不,9,11,１勝ｸﾗｽ,35.1,後方,18,2,28,小倉,D,1000,不,11,8,１勝ｸﾗｽ,35.8,中団,10,12,21,中京,D,1200,稍,16,7,１勝ｸﾗｽ・若,38.0,先行,2,12,7,中京,D,1200,良,5,4,１勝ｸﾗｽ,37.5,逃げ,7,10,19,新潟,D,1200,重,6,5,１勝ｸﾗｽ・牝,37.7,中団,11
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010307,2026.8.1,土,札幌,1札3,7,,未勝利,芝,1800,A,4,稍(暫定),曇(暫定),14,13:20,,馬齢,３歳
