レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040701,2026.9.22,火,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,不(暫定),雨(暫定),14,09:45,,定量,３上
8,,13,,,,,サトノドルチェ,,セ,7,4,8,23,中京,S,3000,良,4,8,障害未勝利,13.5,先行,3,8,1,中京,S,3000,良,8,10,障害未勝利,13.9,中団,19,3,24,園田,D,1400,稍,7,4,Ｃ２一,----,中団,2,3,5,姫路,D,1400,稍,3,6,Ｃ２一,----,ﾏｸﾘ,3,2,17,姫路,D,1400,良,4,2,Ｃ２一,----,逃げ,2
8,B,14,,,,,グランナヴィール,,牡,5,23,4,12,中山,S,2880,良,2,7,障害未勝利,13.7,先行,連,4,5,中山,S,2880,重,2,4,障害未勝利,13.9,先行,4,3,8,中山,S,2880,良,13,5,障害未勝利,14.1,後方,6,1,25,小倉,S,2860,良,8,4,障害未勝利,13.6,中団,30,6,29,小倉,S,2860,良,8,1,障害未勝利,13.7,後方,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040702,2026.9.22,火,中山,4中7,2,,未勝利,芝,1200,C,2,不(暫定),雨(暫定),16,10:20,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,スノーキャップ,,牡,2,2,9,6,中山,T,1200,稍,10,13,未勝利*,35.5,中団,2,8,23,新潟,T,1400,良,11,12,未勝利*,35.9,後方,10,6,13,東京,T,1400,良,9,9,新馬,36.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ゴータマ,,牡,2,6,8,9,新潟,T,1200,良,9,9,新馬,35.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ナナレイ,,牝,2,13,6,20,東京,T,1600,稍,9,8,新馬,35.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,スペシャルサンクス,,牝,2,2,9,6,中山,T,1200,稍,4,6,未勝利*,35.7,先行,5,8,1,新潟,T,1000,良,7,3,未勝利*,34.0,中団,5,6,28,福島,T,1200,良,3,9,新馬・牝,35.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,ナリタライズ,,牡,2,2,9,5,阪神,D,1400,稍,12,3,新馬,41.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ニシノタカオ,,牡,2,7,8,1,新潟,T,1400,良,10,13,新馬,36.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,シジマ,,牝,2,6,8,9,新潟,T,1200,良,6,4,新馬,35.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,バタフライ,,牝,2,3,8,29,札幌,T,1500,稍,2,7,未勝利・牝*,36.9,逃げ,3,8,9,札幌,T,1500,良,6,9,新馬・牝,35.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,ニシノムホウモノ,,牡,2,3,8,29,新潟,T,1400,良,12,7,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ニシノアトール,,牡,2,7,8,1,新潟,T,1400,良,12,6,新馬,37.0,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,ハミングリップス,,牝,2,2,9,5,札幌,T,1200,稍,8,9,未勝利*,38.1,中団,3,8,15,札幌,T,1200,良,5,11,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,ダンシングアワー,,牝,2,11,7,5,福島,T,1200,良,6,13,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,トーセンルルド,,牝,2,3,8,30,札幌,T,1200,良,6,4,未勝利*,35.4,中団,5,7,25,札幌,T,1200,良,2,4,未勝利*,35.2,先行,3,7,4,函館,T,1200,良,3,4,未勝利・牝*,34.9,先行,2,6,21,函館,T,1200,良,5,7,新馬,35.0,先行,初,,,,,,,,,,,,
8,,14,,,,,タワーウマザンマイ,,牡,2,3,8,29,新潟,T,1400,良,15,8,新馬,38.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040703,2026.9.22,火,中山,4中7,3,,未勝利,ダート,1200,,2,不(暫定),雨(暫定),16,10:50,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ビスクヴィート,,牡,2,3,8,29,新潟,T,1600,良,7,10,未勝利*,36.4,後方,4,8,2,新潟,T,1600,良,11,10,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,モミスケ,,牡,2,5,8,16,札幌,T,1200,良,8,4,未勝利*,39.7,後方,3,7,25,新潟,D,1200,稍,10,10,新馬,38.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ソウラスフロス,,牡,2,2,9,5,中山,D,1200,重,9,4,新馬,40.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,シュアシング,,牝,2,4,8,23,新潟,T,1400,良,6,11,未勝利*,36.2,先行,2,8,8,新潟,T,1400,良,12,11,未勝利*,36.3,中団,9,6,6,東京,T,1400,良,7,7,新馬,35.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ドナビッグベン,,牝,2,9,7,19,福島,D,1150,良,2,5,未勝利*,37.6,先行,3,6,28,福島,T,1200,良,4,6,新馬・牝,35.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ベアアミーチ,,牝,2,12,6,28,福島,T,1200,良,4,4,未勝利*,36.3,先行,3,6,6,東京,T,1400,良,5,6,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,スウィット,,牡,2,9,7,19,福島,D,1150,良,5,4,未勝利*,39.1,中団,3,6,27,福島,T,1200,良,5,6,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,ギムナシオン,,牡,2,2,9,5,中山,D,1200,重,5,2,新馬,38.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ヤマニンスペッキオ,,牡,2,2,9,5,中山,D,1200,重,10,9,新馬,37.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,ダンシングリリー,,牝,2,2,9,5,中山,D,1200,重,7,10,新馬,38.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,ヒーローシー,,牝,2,2,9,6,中山,T,1200,稍,13,11,未勝利*,35.7,後方,2,8,23,新潟,T,1600,良,12,12,新馬・牝,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040704,2026.9.22,火,中山,4中7,4,,未勝利,芝,1800,C,4,不(暫定),雨(暫定),14,11:20,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サンアンドスターズ,,牝,2,連,9,13,中山,D,1200,重,11,13,未勝利*,38.1,後方,3,8,22,新潟,T,1600,良,11,9,新馬,37.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,マイネルアルディ,,牡,2,13,6,21,東京,T,1800,稍,13,13,新馬,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,アニエーネ,,牝,2,4,8,22,新潟,T,1800,良,2,2,未勝利*,33.1,先行,3,8,1,新潟,T,1800,良,4,5,新馬,33.1,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,キャピタルストーン,,牡,2,10,7,11,福島,T,1800,良,2,3,未勝利*,35.6,先行,3,6,21,東京,T,1800,稍,2,5,新馬,34.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,トーセンシントラ,,牡,2,4,8,22,新潟,T,1600,良,6,6,新馬,34.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,クシェドゥソレイユ,,牝,2,15,6,6,東京,T,1600,良,3,2,新馬,34.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ドナリー,,牝,2,9,7,18,福島,T,1800,良,2,6,新馬・牝,35.6,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,エレスレイプニル,,牡,2,4,8,23,新潟,T,1600,良,7,9,新潟２歳G3,34.6,先行,3,8,2,新潟,T,1600,良,8,12,未勝利*,33.9,中団,4,7,5,福島,T,1200,良,10,11,新馬,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,コスモバルムンク,,牡,2,8,7,25,新潟,T,1800,良,6,5,未勝利*,33.5,後方,3,7,4,福島,T,1800,良,7,6,新馬,36.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,キャッチアップ,,牝,2,3,8,30,新潟,T,1800,良,11,7,新馬,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040705,2026.9.22,火,中山,4中7,5,,新馬,芝,1600,C,3,不(暫定),雨(暫定),16,12:10,牝,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ビーハッピーデイ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ローズサルーテ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,アイファーエリース,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,コスモグリュー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ナツハゼ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ナイトオブマース,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ジェイエルターボ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,リネンエトワール,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,コールオンユー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ロックドダイアリー,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,アマンドショコラ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,フェスタベラ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ポテ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ステラストリーム,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,セレネリオン,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040706,2026.9.22,火,中山,4中7,6,,新馬,芝,2000,C,4,不(暫定),雨(暫定),18,12:40,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ネオロマーネ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,シンヒダカムーン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ヤマメゴリュウ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,パッションノーヴァ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,テンポアニマート,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,メダルボーイ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,ゴクラクチョウカ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,スリーボンド,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040707,2026.9.22,火,中山,4中7,7,,1勝,ダート,1800,,4,不(暫定),雨(暫定),16,13:10,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サムシングニュー,,牡,3,9,7,19,福島,D,1700,良,3,5,１勝ｸﾗｽ,39.2,差し,3,6,27,福島,D,1700,稍,2,7,１勝ｸﾗｽ,38.3,差し,5,5,23,東京,D,1600,重,9,13,１勝ｸﾗｽ*,36.4,中団,3,5,2,新潟,D,1800,重,8,15,わらび賞･1勝,39.5,中団,11,2,15,小倉,D,1700,稍,1,6,未勝利,37.9,先行,4
2,,2,,,,,ブレスドナイル,,牝,4,4,8,22,中京,D,1900,良,3,7,瀬戸特別･1勝,38.0,追込,4,7,25,新潟,D,1800,稍,6,9,清津峡特･1勝,39.5,中団,7,6,7,阪神,D,1800,稍,7,10,１勝ｸﾗｽ,37.4,中団,2,5,23,京都,D,1800,稍,5,13,１勝ｸﾗｽ,37.3,中団,3,5,2,新潟,D,1800,重,4,11,１勝ｸﾗｽ,39.7,追込,10
3,B,3,,,,,タケルムサシ,,牡,3,2,9,6,中山,D,1800,不,5,7,１勝ｸﾗｽ,38.3,中団,8,7,11,福島,D,1700,良,10,4,１勝ｸﾗｽ,38.2,後方,7,5,23,東京,D,1600,重,8,6,１勝ｸﾗｽ*,36.4,中団,4,4,25,東京,D,1600,稍,3,10,１勝ｸﾗｽ*,36.6,追込,6,3,15,中山,D,1800,良,1,4,未勝利,38.8,先行,3
3,,4,,,,,ビリオネアボーイ,,牡,4,3,8,29,新潟,T,1400,稍,14,12,１勝ｸﾗｽ,36.3,中団,8,7,5,盛岡,D,1400,良,1,2,Ｃ１　,----,差し,3,6,14,水沢,D,1400,稍,2,1,Ｂ２　,----,先行,5,5,12,盛岡,D,1400,良,1,1,Ｃ２一,----,差し,2,4,29,水沢,D,1400,稍,1,1,Ｃ２一,----,ﾏｸﾘ,3
4,,5,,,,,ペルヴォルム,,牝,3,7,8,1,札幌,D,1000,稍,12,12,未勝利,37.8,後方,23,2,22,小倉,D,1700,良,11,11,未勝利・牝,42.7,後方,2,2,7,小倉,D,1000,良,12,14,未勝利,37.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,メトロポリターナ,,牝,5,2,9,6,中山,D,1800,不,10,15,１勝ｸﾗｽ,38.4,後方,6,7,25,新潟,D,1800,稍,8,13,清津峡特･1勝,39.4,中団,5,6,20,東京,D,1600,不,10,12,１勝ｸﾗｽ,36.7,中団,7,5,2,新潟,D,1800,重,5,14,１勝ｸﾗｽ,41.0,中団,2,4,19,福島,D,1700,良,9,11,１勝ｸﾗｽ,39.3,先行,3
