レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040502,2026.9.19,土,中山,4中5,2,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:30,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マホロ,牝,2,6,26.4, ,100,4,55,,,丸田恭介,(美),石栗龍彦,ストラクター,ルーラーシップ,,ネイティヴダンサー系,9,6,4中2,初,新馬,芝,1600,稍,,丸田,55.0,,11,105.2,8,2.3,14,,6,6,6,37.44,36.7,11,アイムオンアロール
2,B,2,ビップルーチェ,牝,2,7,34.3, , 90,8,52,▲,,上里直汰,(美),田島俊明,サトノダイヤモンド,ダンスインザダーク,,ロイヤルチャージャー系,9,5,4中1,連,未勝利*,芝,1800,稍,,上里,52.0,▲,10,228.3,9,2.6,10,5,6,6,8,36.95,37.1,10,コスモプルー
3,,3,ハイビスカス,牝,2,2,4.3, ,116,2,55,,,大野拓弥,(美),杉浦宏昭,ウィルテイクチャージ,ヴィクトワールピサ,,ロイヤルチャージャー系,9,5,4中1,4,未勝利*,ダ,1800,重,,大野,55.0,,3,6.8,2,0.4,5,7,8,7,4,37.90,39.7,3,マイセイバー
4,,4,テンユメノオーロラ,牝,2,1,1.5, ,119,1,55,,*,ルメール,(美),平岩大典,ルヴァンスレーヴ,ロージズインメイ,,ロイヤルチャージャー系,8,2,2新4,初,新馬,ダ,1800,良,,菊沢,55.0,,2,4.2,2,0.3,7,5,5,4,4,38.50,39.2,2,リーチツモドライチ
5,,5,ピーエムリンダ,牝,2,8,75.9, , 96,6,53,△,*,石神深道,(美),和田正一,クリソベリル,ロードカナロア,,,8,30,3新4,初,新馬,ダ,1800,良,,武藤,55.0,,8,25.5,11,3.7,8,9,9,9,9,39.70,41.8,10,ウラノグラフィア
6,,6,ロンドンコーリング,牝,2,5,18.7, , 97,5,55,,,木幡巧也,(美),牧光二,エスポワールシチー,パイロ,,ナスルーラ系,9,12,4中3,初,新馬,ダ,1200,不,,木幡,55.0,,7,20.4,8,1.5,6,,,8,8,35.80,37.6,10,ナイトパイロット
7,,7,バミューダブーケ,牝,2,4,9.2, ,101,3,55,,*,ミシェル,(栗),杉山佳明,ダノンキングリー,クロフネ,,ニアークティック系,8,29,3名3,11,未勝利*,ダ,1800,稍,,松若,55.0,,7,29.9,7,3.4,9,5,6,5,5,37.95,41.4,6,オーリエイト
8,,8,アフィーリア,牝,2,3,6.7, , 94,7,55,,,三浦皇成,(美),浅利英明,ドレフォン,オルフェーヴル,,,6,20,3東5,初,新馬・牝,芝,1400,稍,,三浦,55.0,,7,33.9,9,1.8,7,,,11,11,37.43,34.2,4,ルークウォーム
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040503,2026.9.19,土,中山,4中5,3,,未勝利,芝,1600,C,3,良(暫定),曇(暫定),16,11:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サノノファイター,牡,2,6,17.2, ,102,7,55,,*,田辺裕信,(美),栗田徹,グレーターロンドン,"Awesome Again",,ニアークティック系,7,4,2福3,初,新馬,芝,1800,良,,丸山,55.0,,5,8.8,12,2.1,8,7,5,5,5,36.90,37.3,10,スタースポット
2,,2,セイウンウィルド,牡,2,5,7.5, ,116,3,55,,,大野拓弥,(美),松山将樹,サリオス,エピファネイア,,,8,22,3新1,初,新馬,芝,1600,良,,大野,55.0,,4,14.7,3,0.4,5,,,9,9,37.98,33.1,2,ジップスパーク
3,,3,エルシオン,牝,2,9,39.6, , 88,12,54,☆,*,長浜鴻緒,(美),柄崎将寿,ステルヴィオ,モーリス,,,8,8,2新5,7,未勝利*,芝,1400,良,,上里,52.0,▲,10,45.4,11,1.3,12,,,12,12,35.85,35.2,3,グルーヴェンス
4,,4,テイクケア,牝,2,11,65.6, , 91,10,53,△,*,石神深道,(美),和田正一,ジャンダルム,ヘニーヒューズ,ロイヤルチャージャー系,,8,16,1札8,3,未勝利*,芝,1200,良,,河原,51.0,★,5,28.5,5,0.9,8,,,5,5,36.10,35.2,4,タイフーンナイン
5,,5,トルタパスカリーナ,牝,2,1,2.4, ,123,1,55,,*,ルメール,(美),黒岩陽一,リアルスティール,ハービンジャー,,ニアークティック系,7,25,2新1,初,新馬・牝,芝,1600,良,,戸崎,55.0,,1,1.4,2,0.0,2,,,1,1,38.22,33.0,6,セプタードアイル
5,,6,コスモシグナス,牡,2,7,20.2, ,101,9,55,,*,津村明秀,(美),水野貴広,ダノンバラード,スウェプトオーヴァーボード,,ネイティヴダンサー系,7,11,2福5,3,未勝利*,芝,1800,良,,石川,55.0,,6,13.4,13,2.1,3,4,2,2,2,36.00,37.7,13,レオンティウス
6,B,7,アミノショコラ,牡,2,12,92.4, , 89,11,55,,,木幡巧也,(美),杉浦宏昭,ダノンスマッシュ,ハーツクライ,,ロイヤルチャージャー系,9,12,4中3,5,未勝利*,芝,1600,重,B,木幡,55.0,,10,171.7,10,2.5,12,,11,11,11,37.44,36.9,9,アイファーマーリン
6,,8,ワンキャンパス,牝,2,3,6.4, ,104,6,53,◇,*,小林美駒,(美),深山雅史,ビッグアーサー,トビーズコーナー,,その他のエクリプス系,8,29,3名3,初,新馬・牝,芝,1400,良,,長岡,55.0,,12,209.7,3,0.1,9,,,1,1,36.68,34.6,8,ビンチャリ
7,,9,ノルトハウゼン,牡,2,4,6.5, ,114,4,55,,,三浦皇成,(美),菊沢隆徳,イスラボニータ,"Reliable Man",,,8,29,3新3,11,未勝利*,芝,1600,良,,三浦,55.0,,3,4.6,3,0.3,2,,,4,4,35.82,35.5,3,キムケンシーサー
7,,10,ショウナンワンパク,牡,2,8,26.2, ,109,5,55,,,丸山元気,(美),古賀大生,カラヴァッジオ,キンシャサノキセキ,,ロイヤルチャージャー系,8,29,3新3,初,新馬,芝,1400,良,,丸山,55.0,,6,20.1,4,0.8,16,,,7,7,36.08,35.8,5,エクラドリオン
8,,11,イニシャルポイント,牝,2,2,5.1, ,118,2,55,,*,丹内祐次,(美),高木登,Flightline,"Malibu Moon",,ナスルーラ系,7,25,2新1,初,新馬,ダ,1200,稍,,原優,55.0,,3,4.1,2,0.2,6,,,2,2,34.90,38.3,7,ミカミッチー
8,,12,コーズサム,牡,2,10,64.0, ,102,7,55,,,黛弘人,(美),伊藤圭三,ニューイヤーズデイ,オルフェーヴル,,,9,5,2札5,初,新馬,芝,1500,稍,,黛弘,55.0,,9,64.7,6,1.1,9,,11,11,11,37.53,36.3,4,シュヴァルツペルレ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040504,2026.9.19,土,中山,4中5,4,,新馬,芝,1200,C,2,良(暫定),曇(暫定),16,11:35,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ロジパンドラ,牝,2,8,13.5, ,  0,,55,,,大野拓弥,(美),新開幸一,ロジユニヴァース,エピファネイア,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ゼーゲルン,牡,2,4,7.4, ,  0,,55,,,小林脩斗,(美),斎藤誠,サリオス,ノヴェリスト,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,シウンハゴロモ,牝,2,9,22.8, ,  0,,54,☆,,長浜鴻緒,(美),浅利英明,ベンバトル,ノヴェリスト,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,サンエルディーケー,牝,2,16,71.1, ,  0,,52,▲,,佐藤翔馬,(美),岩戸孝樹,インカンテーション,ダンスインザダーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,シルバーノリダー,牡,2,2,5.0, ,  0,,53,◇,,小林美駒,(美),伊藤大士,シルバーステート,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ルナロマンティカ,牝,2,1,4.7, ,  0,,55,,,横山琉人,(美),鈴木慎太,インディチャンプ,リアルインパクト,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,アマルレイナ,牝,2,12,34.3, ,  0,,55,,,丹内祐次,(美),本間忍,シュヴァルグラン,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,スヴァラ,牝,2,13,35.5, ,  0,,55,,,江田照男,(美),栗田徹,マテラスカイ,ディープブリランテ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ニホンノヨアケゼヨ,牡,2,10,23.4, ,  0,,55,,,野中悠太,(美),村田一誠,ビッグアーサー,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,フクチャンヨシ,牝,2,3,7.1, ,  0,,55,,,戸崎圭太,(美),加藤征弘,ドレフォン,"Northern Afleet",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,プリマラクーン,牝,2,11,28.0, ,  0,,55,,,原優介,(美),青木孝文,ジャスタウェイ,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ニシノハナカケル,牝,2,14,39.0, ,  0,,55,,,杉原誠人,(美),加藤和宏,リーチザクラウン,キングカメハメハ,ロイヤルチャージャー系,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,シクラメン,牝,2,5,9.5, ,  0,,55,,,柴田大知,(美),和田雄二,グレーターロンドン,Belardo,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ペルラビアンカ,牝,2,6,12.7, ,  0,,55,,,岩田康誠,(美),青木孝文,マクフィ,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,イキデイナセ,牡,2,15,58.5, ,  0,,53,△,,石神深道,(美),佐藤吉勝,サングレーザー,コパノリチャード,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,キャンディメモリー,牝,2,7,13.3, ,  0,,55,,,松岡正海,(美),粕谷昌央,ベンバトル,スウェプトオーヴァーボード,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040505,2026.9.19,土,中山,4中5,5,,新馬,芝,1800,C,4,良(暫定),曇(暫定),14,12:25,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ディヴァンパーレ,牝,2,8,40.1, ,  0,,55,,,丸山元気,(栗),小栗実,モーリス,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,レインボーフライト,牝,2,2,2.5, ,  0,,55,,,津村明秀,(美),林徹,Flightline,"War Front",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,トパーズプレミア,牡,2,6,22.9, ,  0,,55,,,菊沢一樹,(美),伊藤大士,ワールドプレミア,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,メイダイ,牝,2,7,35.9, ,  0,,54,☆,,長浜鴻緒,(美),平岩大典,ダノンバラード,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,ツェルプスト,牡,2,10,61.7, ,  0,,55,,,柴田大知,(美),上原博之,ベンバトル,アグネスタキオン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,プルヴィナル,牝,2,1,1.9, ,  0,,55,,,ルメール,(美),栗田徹,モーリス,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,ルージュルフラン,牝,2,3,12.1, ,  0,,55,,,横山武史,(美),手塚貴久,フィエールマン,"Storm Cat",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,ドッグズノーズ,牡,2,11,75.3, ,  0,,55,,,佐々木大,(美),浅利英明,ニューイヤーズデイ,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,フレッシュオレンジ,牝,2,9,41.5, ,  0,,55,,,嶋田純次,(美),伊坂重信,カラヴァッジオ,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,セイウンガレス,牡,2,4,14.3, ,  0,,55,,,丹内祐次,(美),稲垣幸雄,レイデオロ,スペシャルウィーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,セイウンランウェイ,牝,2,5,18.8, ,  0,,55,,,内田博幸,(美),古賀慎明,サトノダイヤモンド,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,バーチディダーマ,牝,2,12,120.4, ,  0,,55,,,原田和真,(美),蛯名利弘,マインドユアビスケッツ,フレンチデピュティ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040506,2026.9.19,土,中山,4中5,6,,新馬,ダート,1200,,2,良(暫定),曇(暫定),16,12:55,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ムードメーカー,牝,2,10,34.3, ,  0,,55,,,佐々木大,(美),田中勝春,ゴールドドリーム,Runhappy,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,キタノエフロレス,牝,2,7,18.7, ,  0,,55,,,木幡初也,(美),粕谷昌央,リアルインパクト,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,エクランレーヴ,牝,2,5,13.3, ,  0,,55,,,丸山元気,(美),田中勝春,クリソベリル,ハードスパン,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,ルスカーレット,牝,2,11,40.5, ,  0,,55,,,木幡巧也,(美),牧光二,ルヴァンスレーヴ,ブライアンズタイム,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,ニシノイケガミ,牡,2,8,22.0, ,  0,,52,▲,,佐藤翔馬,(美),奥平雅士,セイウンコウセイ,リーチザクラウン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,ライジングファイト,牡,2,4,6.4, ,  0,,55,,,松岡正海,(美),田中剛,ステルヴィオ,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,7,ケイツーズウォティ,牡,2,12,59.4, ,  0,,53,△,,石神深道,(美),深山雅史,イスラボニータ,アグネスタキオン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,8,ローブリッター,牝,2,6,15.7, ,  0,,55,,,江田照男,(美),尾関知人,ホッコータルマエ,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,サクセスメロディー,牝,2,2,4.2, ,  0,,53,◇,,小林美駒,(美),久保田貴,アメリカンペイトリオット,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,ユウライクスター,牡,2,1,2.8, ,  0,,55,,,ルメール,(栗),森秀行,Nashville,Kodiac,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,ブレイズリー,牡,2,9,26.2, ,  0,,55,,,津村明秀,(栗),西園翔太,ホットロッドチャーリー,Graydar,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,イトウカカリチョウ,牡,2,3,5.9, ,  0,,55,,,丹内祐次,(美),岩戸孝樹,ニューイヤーズデイ,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040507,2026.9.19,土,中山,4中5,7,,1勝,ダート,2400,,6,良(暫定),曇(暫定),16,13:25,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ダイシンパルス,牡,3,11,22.1,>, 69,14,55,,*,江田照男,(美),小笠倫弘,"Dragon Pulse","No Nay Never",,,8,30,2札4,8,未勝利,芝,2000,良,,横山,57.0,,15,167.5,11,0.6,1,12,12,15,15,37.89,35.3,2,デルマフジ
2,,2,ステイアンビシャス,牡,4,2,4.2, ,106,2,58,,*,佐々木大,(美),堀内岳志,ドレフォン,"Distorted Humor",,ネイティヴダンサー系,8,23,2札2,3,１勝ｸﾗｽ,ダ,2400,良,,ロイ,58.0,,5,5.9,6,2.0,2,9,9,7,5,38.90,39.5,6,ニヒトツーゼーア
3,B,3,ブレイクザアイス,セ,7,8,13.4, , 96,8,58,,,黛弘人,(美),森一誠,ラニ,ハーツクライ,,ロイヤルチャージャー系,7,12,1函A,9,１勝ｸﾗｽ,ダ,2400,不,B,黛弘,58.0,,8,20.0,7,1.8,9,10,9,9,7,37.83,38.4,6,シャローファースト
3,B,4,ターフクリスタル,牡,3,9,14.4, , 94,9,55,,*,木幡巧也,(美),矢野英一,インカンテーション,サクラローレル,,ナスルーラ系,9,12,4中3,4,１勝ｸﾗｽ,ダ,1800,重,B,内田,55.0,,15,157.0,9,2.8,15,5,6,9,12,37.25,39.3,8,インナーパッション
4,B,5,サトノリアン,牡,5,4,9.5, , 98,6,58,,*,菊沢一樹,(美),古賀大生,キズナ,クロフネ,,ニアークティック系,7,12,1函A,15,１勝ｸﾗｽ,ダ,2400,不,B,吉田,58.0,,6,15.3,5,0.9,7,11,11,10,8,37.90,37.3,1,シャローファースト
4,B,6,エクストラプッシュ,牡,3,5,10.7, ,101,4,55,,*,横山武史,(栗),奥村豊,ナダル,ディープインパクト,,ロイヤルチャージャー系,8,2,2名4,11,１勝ｸﾗｽ,ダ,1900,良,B,岩田,55.0,,5,10.7,13,2.3,6,11,9,6,6,38.12,40.6,13,スターシップ
5,B,7,ラブトゥエニイワン,牡,3,14,77.6,>, 84,12,53,△,*,石神深道,(美),尾関知人,ロードカナロア,ブラックタイド,,ロイヤルチャージャー系,9,6,4中2,12,未勝利,ダ,1800,重,B,岩田,57.0,,9,27.8,6,1.3,5,15,15,13,10,37.75,38.8,3,トルネードアイル
5,,8,ノーマジック,牝,5,13,60.7, , 97,7,53,▲,,水沼元輝,(美),戸田博文,ストロングリターン,ディープインパクト,,ロイヤルチャージャー系,8,29,3新3,26,１勝ｸﾗｽ,芝,2200,稍,,水沼,53.0,▲,12,336.2,6,1.8,8,4,2,4,4,36.90,36.8,9,プレイザリード
6,,9,ブライトラン,牡,3,7,12.9,>, 99,5,55,,,嶋田純次,(美),尾形和幸,マインドユアビスケッツ,キングカメハメハ,,ネイティヴダンサー系,8,1,2新3,3,未勝利,ダ,1800,稍,,嶋田,57.0,,9,26.4,1,-0.2,3,6,5,4,2,38.05,40.3,1,(タマモブレイキン)
6,B,10,ゴーントゥファー,セ,3,6,11.2,>, 75,13,54,☆,,長浜鴻緒,(美),小島茂之,ドレフォン,キズナ,,,8,15,1札7,3,未勝利,ダ,1700,良,B,長浜,56.0,☆,12,239.3,7,1.9,12,8,10,10,10,38.67,38.6,2,クルビデンス
7,,11,タケルゴールド,牡,5,3,9.3, ,105,3,58,,*,岩田康誠,(美),田中剛,モーニン,ダイワメジャー,,ロイヤルチャージャー系,5,9,2東5,4,１勝ｸﾗｽ,ダ,2100,良,,吉田,58.0,,9,44.7,3,0.5,9,11,10,11,11,38.08,37.7,2,マウントバーノン
7,,12,リオンサーガ,牡,3,10,21.4, , 88,10,55,,*,原優介,(栗),宮地貴稔,リオンディーズ,"War Front",,ニアークティック系,5,24,3京A,3,１勝ｸﾗｽ*,ダ,1900,良,,田山,55.0,△,15,166.9,14,2.6,13,12,11,11,13,37.62,39.9,12,ボクマダネムイヨ
8,,13,モヴレクス,牡,5,12,55.8, , 87,11,58,,*,大野拓弥,(美),金成貴史,ブリックスアンドモルタル,フジキセキ,,ロイヤルチャージャー系,9,6,4中2,8,１勝ｸﾗｽ,ダ,1800,不,,丸山,58.0,,16,272.7,13,2.1,13,12,13,10,11,37.65,39.0,11,メディチパワー
8,,14,デールエルバハリ,牝,3,1,3.8, ,111,1,53,,*,丹内祐次,(栗),杉山佳明,クリソベリル,"War Front",,ニアークティック系,8,2,2名4,13,１勝ｸﾗｽ・牝,ダ,1800,良,,Ｍ．,53.0,,2,5.1,3,0.6,5,9,9,8,6,39.95,37.0,2,アンティスマ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040508,2026.9.19,土,中山,4中5,8,,1勝,ダート,1800,,4,良(暫定),曇(暫定),16,13:55,牝,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
